設置縣市,設置市區鄉鎮,設置地址,管轄警局,管轄分局,經度,緯度,拍攝方向,速限
高雄市,鼓山區,鼓山三路、青峰街,高雄市政府警察局,鼓山分局,120.27578,22.659279,北向南,50
高雄市,鼓山區,蓬萊路32號前,高雄市政府警察局,鼓山分局,120.27912,22.620316,南向北,40
高雄市,鼓山區,中華一路與大順一路口,高雄市政府警察局,鼓山分局,120.29224,22.65287,南向北,60
高雄市,鼓山區,中華一路與美術北三路口,高雄市政府警察局,鼓山分局,120.29245,22.662758,北向南,60
高雄市,鼓山區,明誠三路與南屏路口(西向東),高雄市政府警察局,鼓山分局,120.2999,22.661104,西向東,50
高雄市,左營區,左營區介壽路與先鋒路口,高雄市政府警察局,左營分局,120.282486,22.681307,西向東,50
高雄市,左營區,左營區翠華路與華榮路口,高雄市政府警察局,左營分局,120.291405,22.67238,北向南,60
高雄市,左營區,華夏路337巷口,高雄市政府警察局,左營分局,120.297554,22.67165,南向北,50
高雄市,左營區,左營區翠華路與站前南路,高雄市政府警察局,左營分局,120.302666,22.687275,南向北,60
高雄市,左營區,翠華路與明潭路口,高雄市政府警察局,左營分局,120.302864,22.689344,北向南,60
高雄市,左營區,博愛二路與裕誠路口,高雄市政府警察局,左營分局,120.30315,22.665878,北向南,50
高雄市,左營區,博愛二路與新庄仔路口,高雄市政府警察局,左營分局,120.303406,22.669987,南向北,50
高雄市,左營區,高鐵路與曾子路,高雄市政府警察局,左營分局,120.30349,22.683207,北向南,50
高雄市,左營區,博愛三、文自路口,高雄市政府警察局,左營分局,120.3045,22.672869,北向南,60
高雄市,左營區,博愛、崇德路口,高雄市政府警察局,左營分局,120.30538,22.674622,南向北,50
高雄市,左營區,大中高架道路華夏匝道口,高雄市政府警察局,左營分局,120.30621,22.684856,西向東,60
高雄市,左營區,高鐵路與大中二路口,高雄市政府警察局,左營分局,120.30643,22.68523,北向南,50
高雄市,左營區,大中高架道路文川匝道口,高雄市政府警察局,左營分局,120.30761,22.68351,東向西,60
高雄市,左營區,大中二路與華夏路口,高雄市政府警察局,左營分局,120.30762,22.68328,西向東,40
高雄市,左營區,新莊仔路與自由二路,高雄市政府警察局,左營分局,120.309616,22.668627,西向東,50
高雄市,左營區,大中、自由路口,高雄市政府警察局,左營分局,120.31378,22.679451,東向西,50
高雄市,左營區,民族一路與大中一路,高雄市政府警察局,左營分局,120.31905,22.67854,南向北,60
高雄市,楠梓區,德中路與大學二十九路口,高雄市政府警察局,楠梓分局,120.27737,22.722902,東向西,60
高雄市,楠梓區,左楠、後昌路口,高雄市政府警察局,楠梓分局,120.302536,22.707396,南向北,50
高雄市,楠梓區,楠梓區左楠路與外環西路,高雄市政府警察局,楠梓分局,120.302734,22.711885,南向北,50
高雄市,楠梓區,德民路與德惠路口,高雄市政府警察局,楠梓分局,120.30323,22.725397,東向西,50
高雄市,楠梓區,左楠路與加昌路口,高雄市政府警察局,楠梓分局,120.30393,22.717358,南向北,50
高雄市,楠梓區,中央路25號,保二總隊,保二第一大隊,120.30421,22.722368,北向南,40
高雄市,楠梓區,開發路與經二路口,保二總隊,保二第一大隊,120.30689,22.722485,西向東,40
高雄市,楠梓區,加昌路367號前,高雄市政府警察局,楠梓分局,120.31007,22.719818,東西向,50
高雄市,楠梓區,德民路與海專路口(機車道),高雄市政府警察局,楠梓分局,120.31035,22.726524,西向東,40
高雄市,楠梓區,高楠公路與德民路口以北135公尺處,高雄市政府警察局,楠梓分局,120.31959,22.734089,南北向,60
高雄市,楠梓區,高楠公路與德民路口,高雄市政府警察局,楠梓分局,120.320145,22.732939,南向北,60
高雄市,楠梓區,高楠、水管路口(機車道),高雄市政府警察局,楠梓分局,120.324486,22.707129,北向南,40
高雄市,楠梓區,高楠公路1015-6號前,高雄市政府警察局,楠梓分局,120.325356,22.717821,南向北,60
高雄市,楠梓區,楠梓區興西路與鳳楠路,高雄市政府警察局,,120.33213,22.721943,北向南,50
高雄市,楠梓區,旗楠路與土庫路口,高雄市政府警察局,楠梓分局,120.33286,22.735596,東向西,50
高雄市,楠梓區,旗楠、常德路口,高雄市政府警察局,楠梓分局,120.336876,22.740108,東向西,60
高雄市,三民區,同盟三路與十全三路口往西220公尺處,高雄市政府警察局,三民第一分局,120.28429,22.647367,東西向,50
高雄市,三民區,九如三路(中都街與九如大橋中段),高雄市政府警察局,三民第一分局,120.28611,22.643929,東向西,50
高雄市,三民區,自由一路與同盟一路,高雄市政府警察局,三民第一分局,120.30907,22.650259,北向南,50
高雄市,三民區,同盟路高醫大門,高雄市政府警察局,三民第一分局,120.31007,22.649115,西向東,50
高雄市,三民區,民族、承德路口,高雄市政府警察局,三民第二分局,120.3142,22.642303,南向北,60
高雄市,三民區,民族一路與十全一路口,高雄市政府警察局,三民第二分局,120.31434,22.644857,北向南,60
高雄市,三民區,九如一路與民族一路口,高雄市政府警察局,三民第二分局,120.31469,22.64043,東向西,50
高雄市,三民區,民族一路與建工路口,高雄市政府警察局,三民第二分局,120.31487,22.64735,南向北,40
高雄市,三民區,河堤、民族一路543巷路口,高雄市政府警察局,三民第二分局,120.31492,22.666988,北向南,50
高雄市,三民區,民族一路268號前,高雄市政府警察局,三民第二分局,120.31495,22.649855,南北向,60
高雄市,三民區,民族、裕誠路口(機車道),高雄市政府警察局,三民第二分局,120.31617,22.663822,南向北,40
高雄市,三民區,明誠一路與民族一路口,高雄市政府警察局,三民第二分局,120.31624,22.659792,東向西,50
高雄市,三民區,明誠一路 528 號對面,高雄市政府警察局,三民第二分局,120.320015,22.65996,西向東,50
高雄市,三民區,九如、平等路口,高雄市政府警察局,三民第二分局,120.32043,22.639828,西向東,50
高雄市,三民區,大中一路與鼎中路(西向東),高雄市政府警察局,三民第二分局,120.32313,22.67667,西向東,50
高雄市,三民區,大中路、鼎中路口東向西左側路口,高雄市政府警察局,三民第二分局,120.32344,22.676521,東向西,50
高雄市,三民區,大中路、鼎中路口東向西右側路口,高雄市政府警察局,三民第二分局,120.32359,22.676704,東向西,50
高雄市,三民區,明誠一路280號,高雄市政府警察局,三民第二分局,120.32598,22.6596,東向西,50
高雄市,三民區,明誠、大裕路口,高雄市政府警察局,三民第二分局,120.32843,22.659721,西向東,50
高雄市,三民區,九如一路、大順二路口,高雄市政府警察局,三民第二分局,120.32851,22.639074,東向西,50
高雄市,三民區,九如一路與大昌二路口,高雄市政府警察局,三民第二分局,120.33165,22.63851,西向東,50
高雄市,三民區,大昌二路420巷,高雄市政府警察局,三民第二分局,120.331825,22.649923,南向北,50
高雄市,三民區,大昌二路28號,高雄市政府警察局,三民第一分局,120.33226,22.641333,南向北,50
高雄市,三民區,九如一路光武國小旁,高雄市政府警察局,三民第二分局,120.33385,22.638254,東向西,50
高雄市,三民區,中山高西側便道、九如路口,高雄市政府警察局,三民第二分局,120.336784,22.63776,北向南,50
高雄市,三民區,九如、中山高東側便道,高雄市政府警察局,三民第二分局,120.33778,22.637417,東向西,50
高雄市,三民區,澄清、澄和路口,高雄市政府警察局,三民第二分局,120.34639,22.644442,北向南,50
高雄市,新興區,中山一路與民生一路,高雄市政府警察局,新興分局,120.30146,22.627745,北向南,50
高雄市,新興區,民生路與仁愛路口,高雄市政府警察局,新興分局,120.30685,22.627457,西向東,50
高雄市,苓雅區,中山二路432號前,高雄市政府警察局,苓雅分局,120.30265,22.619112,南向北,50
高雄市,苓雅區,中山二路361號前,高雄市政府警察局,苓雅分局,120.303604,22.616146,北向南,50
高雄市,苓雅區,五福一路與和平一路口,高雄市政府警察局,苓雅分局,120.3182,22.628725,西向東,50
高雄市,苓雅區,中正地下道(東向西出口),高雄市政府警察局,苓雅分局,120.32004,22.630129,東向西,50
高雄市,苓雅區,五福、凱旋路口,高雄市政府警察局,苓雅分局,120.321106,22.62981,西向東,50
高雄市,苓雅區,建國路與武廟路口,高雄市政府警察局,苓雅分局,120.32181,22.633484,東向西,50
高雄市,苓雅區,中正地下道(西向東出口),高雄市政府警察局,苓雅分局,120.32502,22.629728,西向東,50
高雄市,苓雅區,武營、三多路口,高雄市政府警察局,苓雅分局,120.3359,22.623598,南向北,50
高雄市,苓雅區,中正一路與高速公路,高雄市政府警察局,苓雅分局,120.33634,22.62665,西向東,50
高雄市,苓雅區,建國一路中山高涵洞東側,高雄市政府警察局,苓雅分局,120.33671,22.630255,西向北,50
高雄市,苓雅區,建國一、正義路口,高雄市政府警察局,苓雅分局,120.33822,22.629908,西向東,50
高雄市,苓雅區,中正一路（802國軍總醫院旁）,高雄市政府警察局,苓雅分局,120.33946,22.625673,東西向,50
高雄市,苓雅區,苓雅區三多一路與建軍路口,高雄市政府警察局,苓雅分局,120.341866,22.624517,西向東,50
高雄市,前鎮區,中一路與中四路口,保二總隊,保二第一大隊,120.291794,22.60163,南向北,25
高雄市,前鎮區,中華五路與復興三路口,高雄市政府警察局,前鎮分局,120.30485,22.606277,南向北,50
高雄市,前鎮區,中山三路與文橫路,高雄市政府警察局,前鎮分局,120.30548,22.611725,南向北,60
高雄市,前鎮區,成功二路與興發路口,高雄市政府警察局,前鎮分局,120.30554,22.593822,北向南,50
高雄市,前鎮區,中華五路與正勤路口(西、北側),高雄市政府警察局,前鎮分局,120.30589,22.602861,南向北,50
高雄市,前鎮區,成功二路與舊凱旋四路口,高雄市政府警察局,前鎮分局,120.306015,22.592865,南向北,50
高雄市,前鎮區,新生路與鎮州路口,高雄市政府警察局,前鎮分局,120.30663,22.587458,南向北,50
高雄市,前鎮區,舊凱旋四路與前鎮街口,高雄市政府警察局,前鎮分局,120.3075,22.592865,西向東,50
高雄市,前鎮區,中華五路與時代大道路口(東、南側),高雄市政府警察局,前鎮分局,120.30864,22.596786,東向西,50
高雄市,前鎮區,中山三路與正勤路口,高雄市政府警察局,前鎮分局,120.3092,22.604418,北向南,60
高雄市,前鎮區,凱旋四路與中華五路口,高雄市政府警察局,前鎮分局,120.309494,22.59344,西向東,50
高雄市,前鎮區,新生高架道路0.82K,高雄市政府警察局,前鎮分局,120.30965,22.583641,南向北,60
高雄市,前鎮區,舊凱旋四路與鎮興街口,高雄市政府警察局,前鎮分局,120.31083,22.593851,西向東,50
高雄市,前鎮區,凱旋四路與鎮興街口,高雄市政府警察局,前鎮分局,120.31139,22.59389,東向西,50
高雄市,前鎮區,過港隧道北孔〈前鎮往旗津方向〉機車道1100M處,高雄港警總隊,,120.31456,22.563587,南向北,50
高雄市,前鎮區,凱旋四路與凱旋四路424巷口,高雄市政府警察局,前鎮分局,120.31474,22.594706,西向東,40
高雄市,前鎮區,三多二路與桂林街口,高雄市政府警察局,前鎮分局,120.315796,22.61766,西向東,50
高雄市,前鎮區,中山三路與凱旋四路口,高雄市政府警察局,前鎮分局,120.316284,22.595959,南向北,60
高雄市,前鎮區,一心、光華路口,高雄市政府警察局,前鎮分局,120.317055,22.608536,東向西,50
高雄市,前鎮區,中山四路與鎮海路口,高雄市政府警察局,前鎮分局,120.31856,22.592764,北向南,40
高雄市,前鎮區,新生路與金福路口,高雄市政府警察局,前鎮分局,120.32304,22.567684,北向南,50
高雄市,前鎮區,凱旋四路與籬仔內路口,高雄市政府警察局,前鎮分局,120.32374,22.603518,南向北,50
高雄市,前鎮區,中山四路地下道(南向北出口),高雄市政府警察局,前鎮分局,120.32565,22.584517,南向北,60
高雄市,前鎮區,中山四路地下道(北向南出口),高雄市政府警察局,前鎮分局,120.32649,22.583427,北向南,60
高雄市,前鎮區,凱旋三路與二聖一路口,高雄市政府警察局,前鎮分局,120.32679,22.612076,北向南,50
高雄市,前鎮區,中山四路與中平路口,高雄市政府警察局,前鎮分局,120.32882,22.580608,北向南,40
高雄市,前鎮區,中山四路與中安路口,高雄市政府警察局,前鎮分局,120.32949,22.580269,南向北,50
高雄市,前鎮區,中山四路與金福路口,高雄市政府警察局,前鎮分局,120.331924,22.576746,北向南,50
高雄市,前鎮區,保泰、瑞隆路口,高雄市政府警察局,前鎮分局,120.33857,22.605717,南向北,50
高雄市,旗津區,過港隧道南孔〈旗津往前鎮方向〉汽車道1367M處,高雄港警總隊,,120.31196,22.561485,北向南,60
高雄市,旗津區,過港隧道南孔〈旗津往前鎮方向〉機車道1100M處,高雄港警總隊,,120.313225,22.562416,北向南,50
高雄市,小港區,東亞南路、平和7路路口,高雄市政府警察局,小港分局,120.33221,22.561941,北向南,60
高雄市,小港區,東亞南路、平和2路路口,高雄市政府警察局,小港分局,120.33443,22.55905,南向北,60
高雄市,小港區,中山四路段(平和東路以北50公尺處),高雄市政府警察局,小港分局,120.336555,22.571115,北向南,40
高雄市,小港區,南星路與中林路(南向北),高雄市政府警察局,小港分局,120.338646,22.528667,南向北,40
高雄市,小港區,中安路223號前,高雄市政府警察局,小港分局,120.34073,22.58326,東向西,50
高雄市,小港區,南星、中林路口(北向南),高雄市政府警察局,小港分局,120.34606,22.521515,北向南,40
高雄市,小港區,中安路與明聖街230巷口,高雄市政府警察局,小港分局,120.34622,22.583788,西向東,50
高雄市,小港區,沿海一路與宏平路,高雄市政府警察局,小港分局,120.35012,22.568972,南向北,50
高雄市,小港區,沿海一路與漢民路口,高雄市政府警察局,小港分局,120.35207,22.5666,北向南,50
高雄市,小港區,南星三路段(沿海路以北700公尺處),高雄市政府警察局,小港分局,120.35464,22.513891,北向南,40
高雄市,小港區,沿海一路與中鋼路口(南下),高雄市政府警察局,小港分局,120.356544,22.561512,北向南,50
